Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value
positive_only	TF	TF ChIP-seq	K562	SP1	SP1	ENCSR372IML	ENCFF412ERW	/rhome/yzhan677/bigdata/ChIP-seq_K562/SP1/SP1_K562_ENCSR372IML_ENCFF412ERW_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	265	401	10.01890359168242	6.989715879379467	441	700	1.4816320543179866	3.143576518111054e-06	106	105	4.007561436672968	1.8302248561966186	148	137	2.2393218177385172	1.2152896501250437e-08
both	RBP	eCLIP	HepG2	FXR2	FXR2	ENCSR973HOJ	ENCFF112MVG	/rhome/yzhan677/bigdata/eCLIP_HepG2/FXR2/FXR2_HepG2_ENCSR973HOJ_ENCFF112MVG_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	14	595	2.788844621513944	6.912977808760311	39	2726	0.3863066538090646	0.00010003159042513637	5	60	0.9960159362549801	0.6971070059254095	14	68	1.4330985915492958	0.40686253362863956
both	RBP	eCLIP	HepG2	HNRNPC	HNRNPC	ENCSR550DVK	ENCFF440ROZ	/rhome/yzhan677/bigdata/eCLIP_HepG2/HNRNPC/HNRNPC_HepG2_ENCSR550DVK_ENCFF440ROZ_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	39	333	7.768924302788845	3.868943882886023	55	543	2.092930943902866	0.00010087340120354251	18	39	3.5856573705179287	0.4531195538515162	24	45	8.17037507946599	6.787594962566011e-10
both	RBP	eCLIP	HepG2	HNRNPL	HNRNPL	ENCSR724RDN	ENCFF266TKW	/rhome/yzhan677/bigdata/eCLIP_HepG2/HNRNPL/HNRNPL_HepG2_ENCSR724RDN_ENCFF266TKW_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	38	455	7.569721115537849	5.286394794934355	88	1107	1.467298219022357	0.032764336574765116	17	29	3.386454183266932	0.336935052863948	41	72	10.36800568787771	1.205125265856503e-10
both	RBP	eCLIP	HepG2	PABPN1	PABPN1	ENCSR820UYE	ENCFF709FEU	/rhome/yzhan677/bigdata/eCLIP_HepG2/PABPN1/PABPN1_HepG2_ENCSR820UYE_ENCFF709FEU_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	71	311	14.143426294820719	3.6133379807133728	189	831	4.394297267254049	1.8163257563189152e-20	19	38	3.7848605577689245	0.44150110375275936	30	47	8.870600414078675	7.793137378724024e-11
both	RBP	eCLIP	HepG2	PTBP1	PTBP1	ENCSR384KAN	ENCFF726SQU	/rhome/yzhan677/bigdata/eCLIP_HepG2/PTBP1/PTBP1_HepG2_ENCSR384KAN_ENCFF726SQU_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	46	727	9.163346613545817	8.446613221796213	88	1537	1.0934144163710515	0.564101780310861	16	69	3.187250996015936	0.801673056814221	25	91	4.0737162283056	1.3048105634115107e-05
both	RBP	eCLIP	HepG2	RBM5	RBM5	ENCSR489ABS	ENCFF927KRA	/rhome/yzhan677/bigdata/eCLIP_HepG2/RBM5/RBM5_HepG2_ENCSR489ABS_ENCFF927KRA_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	48	83	9.56175298804781	0.9643313581968165	63	106	10.858022397961891	1.1019415693779345e-27	28	8	5.577689243027888	0.09294760079005461	32	8	63.494725738396625	5.502860560545701e-29
both	RBP	eCLIP	HepG2	TIA1	TIA1	ENCSR623VEQ	ENCFF759KCD	/rhome/yzhan677/bigdata/eCLIP_HepG2/TIA1/TIA1_HepG2_ENCSR623VEQ_ENCFF759KCD_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	41	136	8.167330677290837	1.5801092134309282	64	276	5.539603802475437	1.3648294380298753e-15	19	9	3.7848605577689245	0.10456605088881143	26	11	37.58040027605245	3.790081923635177e-18
both	RBP	eCLIP	HepG2	U2AF2	U2AF2	ENCSR202BFN	ENCFF721PWF	/rhome/yzhan677/bigdata/eCLIP_HepG2/U2AF2/U2AF2_HepG2_ENCSR202BFN_ENCFF721PWF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	214	1467	42.62948207171315	17.044266294876266	464	2996	3.616507611906385	2.460168176932434e-38	133	334	26.49402390438247	3.88056233298478	211	381	8.927746133748762	1.8178576834190996e-62
both	RBP	eCLIP	K562	CPEB4	CPEB4	ENCSR046JHH	ENCFF665BGJ	/rhome/yzhan677/bigdata/eCLIP_K562/CPEB4/CPEB4_K562_ENCSR046JHH_ENCFF665BGJ_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	5	34	0.1890359168241966	0.5926442391493811	9	34	0.31768048128342247	0.009390817142146617	0	0	0.0	0.0	0	0		1.0
